target_id	length	eff_length	est_counts	tpm
SSTP_0000048100.1	852	683.234	867	15.967
SSTP_0000048200.1	3255	3086.16	3399	13.8582
SSTP_0000048300.1	1248	1079.16	723	8.43
SSTP_0000048400.1	864	695.234	950	17.1936
SSTP_0000048500.1	654	485.288	649	16.8275
SSTP_0000048600.1	3804	3635.16	6020	20.8376
SSTP_0000048700.1	984	815.158	27	0.41677
SSTP_0000048800.1	1740	1571.16	17811	142.64
SSTP_0000048900.1	1011	842.158	136	2.03198
SSTP_0000049000.1	2202	2033.16	11	0.0680763
SSTP_0000049100.1	696	527.264	3141	74.9573
SSTP_0000049200.1	1779	1610.16	4471	34.939
SSTP_0000049300.1	918	749.198	930	15.6193
SSTP_0000049400.1	804	635.234	817	16.1831
SSTP_0000049500.1	1122	953.158	350	4.62038
SSTP_0000049600.1	1056	887.158	2562	36.3373
SSTP_0000049650.1	438	270.42	652	30.3377
SSTP_0000049700.1	3330	3161.16	4467	17.7805
SSTP_0000049800.1	1596	1427.16	1182	10.4212
SSTP_0000049900.1	657	488.264	12	0.309244
SSTP_0000050000.1	1941	1772.16	995	7.06472
SSTP_0000050100.1	213	65.9932	237	45.188
SSTP_0000050200.1	3009	2840.16	34489	152.796
SSTP_0000050300.1	642	473.312	5941	157.938
SSTP_0000050400.1	918	749.198	100	1.67949
SSTP_0000050500.1	837	668.234	27978	526.82
SSTP_0000050600.1	399	232.234	5253	284.613
SSTP_0000050700.1	1845	1676.16	223.054	1.67444
SSTP_0000050800.1	594	425.334	4	0.118332
SSTP_0000050900.1	507	338.664	1837	68.2518
SSTP_0000051000.1	1830	1661.16	450	3.4086
SSTP_0000051100.1	1494	1325.16	1624	15.4203
SSTP_0000051200.1	570	401.375	92566	2901.85
